"";"...1";"variable";"description"
"1";"#";"caseid";"Case Identification"
"2";"#";"midx";"Index to Birth History"
"3";"#";"v000";"Country code and phase"
"4";"#";"v001";"Cluster number"
"5";"#";"v002";"Household number"
"6";"#";"v003";"Respondent's line number"
"7";"#";"v004";"Ultimate area unit"
"8";"#";"v005";"Women's individual sample weight (6 decimals)"
"9";"#";"v006";"Month of interview"
"10";"#";"v007";"Year of interview"
"11";"#";"v008";"Date of interview (CMC)"
"12";"#";"v008a";"Date of interview Century Day Code (CDC)"
"13";"#";"v009";"Respondent's month of birth"
"14";"#";"v010";"Respondent's year of birth"
"15";"#";"v011";"Date of birth (CMC)"
"16";"#";"v012";"Respondent's current age"
"17";"#";"v013";"Age in 5-year groups"
"18";"#";"v014";"Completeness of age information"
"19";"#";"v015";"Result of individual interview"
"20";"#";"v016";"Day of interview"
"21";"#";"v017";"CMC start of calendar"
"22";"#";"v018";"Row of month of interview"
"23";"#";"v019";"Length of calendar"
"24";"#";"v019a";"Number of calendar columns"
"25";"#";"v020";"Ever-married sample"
"26";"#";"v021";"Primary sampling unit"
"27";"#";"v022";"Sample strata for sampling errors"
"28";"#";"v023";"Stratification used in sample design"
"29";"#";"v024";"Region"
"30";"#";"v025";"Type of place of residence"
"31";"#";"v026";"NA - De facto place of residence"
"32";"#";"v027";"Number of visits"
"33";"#";"v028";"Interviewer identification"
"34";"#";"v029";"NA - Keyer identification"
"35";"#";"v030";"Field supervisor"
"36";"#";"v031";"NA - Field editor"
"37";"#";"v032";"NA - Office editor"
"38";"#";"v034";"Line number of husband"
"39";"#";"v040";"Cluster altitude in meters"
"40";"#";"v042";"Household selected for hemoglobin"
"41";"#";"v044";"Selected for Domestic Violence module"
"42";"#";"v045a";"Language of questionnaire"
"43";"#";"v045b";"Language of interview"
"44";"#";"v045c";"Native language of respondent"
"45";"#";"v046";"Translator used"
"46";"#";"v101";"Region"
"47";"#";"v102";"Type of place of residence"
"48";"#";"v103";"NA - Childhood place of residence"
"49";"#";"v104";"Years lived in place of residence"
"50";"#";"v105";"Type of place of previous residence"
"51";"#";"v105a";"Region of previous residence"
"52";"#";"v106";"Highest educational level"
"53";"#";"v107";"Highest year of education"
"54";"#";"v113";"Source of drinking water"
"55";"#";"v115";"Time to get to water source"
"56";"#";"v116";"Type of toilet facility"
"57";"#";"v119";"Household has: electricity"
"58";"#";"v120";"Household has: radio"
"59";"#";"v121";"Household has: television"
"60";"#";"v122";"Household has: refrigerator"
"61";"#";"v123";"Household has: bicycle"
"62";"#";"v124";"Household has: motorcycle/scooter"
"63";"#";"v125";"Household has: car/truck"
"64";"#";"v127";"Main floor material"
"65";"#";"v128";"Main wall material"
"66";"#";"v129";"Main roof material"
"67";"#";"v130";"Religion"
"68";"#";"v131";"NA - Ethnicity"
"69";"#";"v133";"Education in single years"
"70";"#";"v134";"NA - De facto place of residence"
"71";"#";"v135";"Usual resident or visitor"
"72";"#";"v136";"Number of household members (listed)"
"73";"#";"v137";"Number of children 5 and under in household (de jure)"
"74";"#";"v138";"Number of eligible women in household (de facto)"
"75";"#";"v139";"De jure region of residence"
"76";"#";"v140";"De jure type of place of residence"
"77";"#";"v141";"NA - De jure place of residence"
"78";"#";"v149";"Educational attainment"
"79";"#";"v150";"Relationship to household head"
"80";"#";"v151";"Sex of household head"
"81";"#";"v152";"Age of household head"
"82";"#";"v153";"Household has: telephone (land-line)"
"83";"#";"awfactt";"All woman factor - total"
"84";"#";"awfactu";"All woman factor - urban/rural"
"85";"#";"awfactr";"All woman factor - regional"
"86";"#";"awfacte";"All woman factor - educational"
"87";"#";"awfactw";"All woman factor - wealth index"
"88";"#";"v155";"Literacy"
"89";"#";"v156";"NA - Ever participated in a literacy program outside of primary"
"90";"#";"v157";"Frequency of reading newspaper or magazine"
"91";"#";"v158";"Frequency of listening to radio"
"92";"#";"v159";"Frequency of watching television"
"93";"#";"v160";"Toilet facilities shared with other households"
"94";"#";"v161";"Type of cooking fuel"
"95";"#";"v166";"Result of salt test for iodine"
"96";"#";"v167";"NA - Number of trips in last 12 months"
"97";"#";"v168";"NA - Away for more than one month in last 12 months"
"98";"#";"v169a";"Owns a mobile telephone"
"99";"#";"v169b";"Use mobile telephone for financial transactions"
"100";"#";"v170";"Has an account in a bank or other financial institution"
"101";"#";"v171a";"Use of internet"
"102";"#";"v171b";"Frequency of using internet last month"
"103";"#";"v190";"Wealth index combined"
"104";"#";"v191";"Wealth index factor score combined (5 decimals)"
"105";"#";"v190a";"Wealth index for urban/rural"
"106";"#";"v191a";"Wealth index factor score for urban/rural (5 decimals)"
"107";"#";"ml101";"Type of mosquito bed net(s) slept under last night"
"108";"#";"v201";"Total children ever born"
"109";"#";"v202";"Sons at home"
"110";"#";"v203";"Daughters at home"
"111";"#";"v204";"Sons elsewhere"
"112";"#";"v205";"Daughters elsewhere"
"113";"#";"v206";"Sons who have died"
"114";"#";"v207";"Daughters who have died"
"115";"#";"v208";"Births in last five years"
"116";"#";"v209";"Births in past year"
"117";"#";"v210";"Births in month of interview"
"118";"#";"v211";"Date of first birth (CMC)"
"119";"#";"v212";"Age of respondent at 1st birth"
"120";"#";"v213";"Currently pregnant"
"121";"#";"v214";"Duration of current pregnancy"
"122";"#";"v215";"Time since last menstrual period"
"123";"#";"v216";"Menstruated in last six weeks"
"124";"#";"v217";"Knowledge of ovulatory cycle"
"125";"#";"v218";"Number of living children"
"126";"#";"v219";"Living children + current pregnancy"
"127";"#";"v220";"Living children + current pregnancy (grouped)"
"128";"#";"v221";"Marriage to first birth interval (months)"
"129";"#";"v222";"Last birth to interview (months)"
"130";"#";"v223";"Completeness of current pregnancy information"
"131";"#";"v224";"Entries in birth history"
"132";"#";"v225";"Current pregnancy wanted"
"133";"#";"v226";"Time since last period (comp) (months)"
"134";"#";"v227";"Flag for last period"
"135";"#";"v228";"Ever had a terminated pregnancy"
"136";"#";"v229";"Month pregnancy ended"
"137";"#";"v230";"Year pregnancy ended"
"138";"#";"v231";"CMC pregnancy ended"
"139";"#";"v232";"Completeness of last termination information"
"140";"#";"v233";"Months when pregnancy ended"
"141";"#";"v234";"Other such pregnancies"
"142";"#";"v235";"Index last child prior to maternity-health (calendar)"
"143";"#";"v237";"Birth between last and interview"
"144";"#";"v238";"Births in last three years"
"145";"#";"v239";"Pregnancies terminated before calendar beginning"
"146";"#";"v240";"Month of last termination prior to calendar"
