"";"""#""";"variable";"description"
"1";"#";"hhid";"Case Identification"
"2";"#";"hvidx";"Line number"
"3";"#";"hv000";"Country code and phase"
"4";"#";"hv001";"Cluster number"
"5";"#";"hv002";"Household number"
"6";"#";"hv003";"Respondent's line number (answering Household questionnaire)"
"7";"#";"hv004";"Ultimate area unit"
"8";"#";"hv005";"Household sample weight (6 decimals)"
"9";"#";"hv006";"Month of interview"
"10";"#";"hv007";"Year of interview"
"11";"#";"hv008";"Date of interview (CMC)"
"12";"#";"hv008a";"Date of interview Century Day Code (CDC)"
"13";"#";"hv009";"Number of household members"
"14";"#";"hv010";"Number of eligible women in household"
"15";"#";"hv011";"NA - Number of eligible men in household"
"16";"#";"hv012";"Number of de jure members"
"17";"#";"hv013";"Number of de facto members"
"18";"#";"hv014";"Number of children 5 and under (de jure)"
"19";"#";"hv015";"Result of household interview"
"20";"#";"hv016";"Day of interview"
"21";"#";"hv017";"Number of visits"
"22";"#";"hv018";"Interviewer identification"
"23";"#";"hv019";"NA - Keyer identification"
"24";"#";"hv020";"Ever-married sample"
"25";"#";"hv021";"Primary sampling unit"
"26";"#";"hv022";"Sample strata for sampling errors"
"27";"#";"hv023";"Stratification used in sample design"
"28";"#";"hv024";"Region"
"29";"#";"hv025";"Type of place of residence"
"30";"#";"hv026";"NA - Place of residence"
"31";"#";"hv027";"NA - Household selected for male interview"
"32";"#";"hv028";"NA - Household weight for male subsample (6 decimals)"
"33";"#";"hv030";"Field supervisor"
"34";"#";"hv031";"NA - Field editor"
"35";"#";"hv032";"NA - Office editor"
"36";"#";"hv035";"Number of eligible children for height and weight"
"37";"#";"hv040";"Cluster altitude in meters"
"38";"#";"hv041";"NA - Total adults measured"
"39";"#";"hv042";"Household selected for hemoglobin"
"40";"#";"hv044";"NA - Household selected for Domestic Violence module"
"41";"#";"hv045a";"Language of questionnaire"
"42";"#";"hv045b";"Language of interview"
"43";"#";"hv045c";"Native language of respondent"
"44";"#";"hv046";"Translator used"
"45";"#";"hv801";"Time interview started (hhmm - 24 hour clock)"
"46";"#";"hv802";"Time interview ended (hhmm - 24 hour clock)"
"47";"#";"hv803";"Length of interview in minutes"
"48";"#";"hv804";"Number of visits for biomarker"
"49";"#";"hv807d";"Day of biomarker visit"
"50";"#";"hv807m";"Month of biomarker visit"
"51";"#";"hv807y";"Year of biomarker visit"
"52";"#";"hv807c";"Date of biomarker (CMC)"
"53";"#";"hv807a";"Date of biomarker Century Day Code (CDC)"
"54";"#";"hv201";"Source of drinking water"
"55";"#";"hv202";"Source of non-drinking water"
"56";"#";"hv201a";"NA - Water not available for at least a day last two weeks"
"57";"#";"hv204";"Time to get to water source (minutes)"
"58";"#";"hv205";"Type of toilet facility"
"59";"#";"hv206";"Has electricity"
"60";"#";"hv207";"Has radio"
"61";"#";"hv208";"Has television"
"62";"#";"hv209";"Has refrigerator"
"63";"#";"hv210";"Has bicycle"
"64";"#";"hv211";"Has motorcycle/scooter"
"65";"#";"hv212";"Has car/truck"
"66";"#";"hv213";"Main floor material"
"67";"#";"hv214";"Main wall material"
"68";"#";"hv215";"Main roof material"
"69";"#";"hv216";"Number of rooms used for sleeping"
"70";"#";"hv217";"Relationship structure"
"71";"#";"hv218";"Line number of head of household"
"72";"#";"hv219";"Sex of head of household"
"73";"#";"hv220";"Age of head of household"
"74";"#";"hv221";"Has telephone (land-line)"
"75";"#";"hv225";"Share toilet with other households"
"76";"#";"hv226";"Type of cooking fuel"
"77";"#";"hv227";"Has mosquito bed net for sleeping"
"78";"#";"hv228";"Children under 5 slept under mosquito bed net last night"
"79";"#";"hv230a";"NA - Place where household members wash their hands"
"80";"#";"hv230b";"NA - Presence of water at hand washing place"
"81";"#";"hv232";"NA - Items present: Soap or detergent"
"82";"#";"hv232b";"NA - Items present: Ash, mud, sand"
"83";"#";"hv232c";"NA - Items present: CS"
"84";"#";"hv232d";"NA - Items present: CS"
"85";"#";"hv232e";"NA - Items present: CS"
"86";"#";"hv232y";"NA - Items present: None"
"87";"#";"hv234";"NA - Result of salt test for iodine (PPM)"
"88";"#";"hv234a";"NA - Result of salt test for iodine"
"89";"#";"hv235";"Location of source for water"
"90";"#";"hv236";"NA - Person fetching water"
"91";"#";"hv237";"NA - Anything done to water to make safe to drink"
"92";"#";"hv237a";"NA - Water usually treated by: boil"
"93";"#";"hv237b";"NA - Water usually treated by: add bleach/chlorine"
"94";"#";"hv237c";"NA - Water usually treated by: strain through a cloth"
"95";"#";"hv237d";"NA - Water usually treated by: use water filter"
"96";"#";"hv237e";"NA - Water usually treated by: solar disinfection"
"97";"#";"hv237f";"NA - Water usually treated by: let it stand and settle"
"98";"#";"hv237g";"NA - Water usually treated by: CS"
"99";"#";"hv237h";"NA - Water usually treated by: CS"
"100";"#";"hv237i";"NA - Water usually treated by: CS"
"101";"#";"hv237j";"NA - Water usually treated by: CS"
"102";"#";"hv237k";"NA - Water usually treated by: CS"
"103";"#";"hv237x";"NA - Water usually treated by: other"
"104";"#";"hv237z";"NA - Water usually treated by: don't know"
"105";"#";"hv238";"Number of households sharing toilet"
"106";"#";"hv238a";"Location of toilet facility"
"107";"#";"hv239";"NA - Food cooked on stove or open fire"
"108";"#";"hv240";"NA - Household has a chimney, hood or neither"
"109";"#";"hv241";"NA - Food cooked in the house/ separate building/ outdoors"
"110";"#";"hv242";"NA - Household has separate room used as kitchen"
"111";"#";"hv243a";"Has mobile telephone"
"112";"#";"hv243b";"NA - Has watch"
"113";"#";"hv243c";"Has animal-drawn cart"
"114";"#";"hv243d";"Has boat with a motor"
"115";"#";"hv243e";"Has a computer"
"116";"#";"hv244";"Owns land usable for agriculture"
"117";"#";"hv245";"Hectares of agricultural land (1 decimal)"
"118";"#";"hv246";"Owns livestock, herds or farm animals"
"119";"#";"hv246a";"Owns cattle"
"120";"#";"hv246b";"Owns cows/ bulls"
"121";"#";"hv246c";"Owns horses/ donkeys/ mules"
"122";"#";"hv246d";"Owns goats"
"123";"#";"hv246e";"Owns sheep"
"124";"#";"hv246f";"Owns chickens/poultry"
"125";"#";"hv246g";"Owns pigs"
"126";"#";"hv246h";"NA - Owns CS"
"127";"#";"hv246i";"NA - Owns CS"
"128";"#";"hv246j";"NA - Owns CS"
"129";"#";"hv246k";"NA - Owns CS"
"130";"#";"hv247";"Has bank account"
"131";"#";"hv252";"NA - Frequency household members smoke inside the house"
"132";"#";"hv253";"NA - Has dwelling been sprayed against mosquitoes in last 12 months"
"133";"#";"hv253a";"NA - Dwelling sprayed by: government worker/program"
